"","Name","GP","MIN","PTS","FGM","FGA","FG.","X3P.Made","X3PA","X3P.","FTM"
"525","Garry Witts","Low","Low",2.9,"Low",1.8,"Moderate","Low",0,"Moderate","Moderate"
"526","Charlie Davis","Moderate","Low",3.8,"Moderate",3.4,"Moderate","Low",0,"Low","Low"
"527","Danny Ainge","Moderate","Low",4.1,"Moderate",4.2,"Low","Moderate",0.3,"Moderate","Moderate"
"528","Mike McGee","Low","Low",4.9,"Moderate",4.4,"Moderate","Low",0.1,"Low","Moderate"
"529","Mark Radford","Low","Low",3.4,"Low",2.3,"Moderate","Low",0.1,"Moderate","Moderate"
"530","Alex Bradley","Low","Low",3.5,"Low",2.6,"Moderate","Low",0,"Low","Moderate"
"531","Reggie Bullock","Low","Low",2.7,"Low",2.8,"Low","Moderate",1.7,"Moderate","Low"
"532","Howard Wood","Low","Low",3.4,"Low",2.9,"Moderate","Low",0,"Low","Moderate"
"533","Franklin Edwards","Low","Low",3.6,"Moderate",3.6,"Moderate","Low",0.2,"Low","Low"
"534","Bobby Cattage","Moderate","Low",3.1,"Low",2.8,"Moderate","Low",0,"Low","Low"
"535","Charles Bradley","Moderate","Low",3,"Low",2.4,"Moderate","Low",0,"Low","Moderate"
"536","Kevin McKenna","Low","Low",1.9,"Low",2.4,"Low","Low",0.1,"Low","Low"
"537","Joe Barry Carroll","High","High",18.9,"High",15.3,"Moderate","Low",0,"Low","High"
"538","Darrell Griffith","High","High",20.6,"High",19.1,"Moderate","Moderate",0.6,"Moderate","High"
"539","Larry Smith","High","High",9.6,"Moderate",7.2,"Moderate","Low",0,"Low","High"
"540","Mike O'Koren","High","High",11,"Moderate",9.5,"Moderate","Moderate",0.2,"Moderate","Moderate"
"541","Kelvin Ransey","High","High",15.2,"High",14.5,"Moderate","Low",0.4,"Moderate","High"
"542","Malcolm Delaney","Low","Moderate",5.3,"Moderate",5.3,"Low","Moderate",1.4,"Moderate","Moderate"
"543","Otto Porter","Low","Low",2.1,"Low",2.5,"Low","Moderate",0.6,"Moderate","Low"
"544","Bill Laimbeer","High","High",9.8,"Moderate",8.3,"Moderate","Low",0,"Low","Moderate"
"545","Michael Brooks","High","High",14.7,"Moderate",12.4,"Moderate","Low",0.1,"Low","High"
"546","Mike Gminski","Moderate","High",13.2,"Moderate",12.3,"Moderate","Low",0,"Low","High"
"547","Darwin Cook","High","High",11.2,"Moderate",10.1,"Moderate","Moderate",0.3,"Moderate","Moderate"
"548","Andrew Toney","Moderate","High",12.9,"Moderate",10.7,"Moderate","Moderate",0.4,"Moderate","High"
"549","Cedrick Hordges","Moderate","High",8.4,"Moderate",7.1,"Moderate","Low",0,"Low","High"
"550","Calvin Garrett","Moderate","High",6.1,"Moderate",5.9,"Moderate","Low",0,"Moderate","Moderate"
"551","Don Collins","High","Moderate",11.5,"Moderate",10,"Moderate","Low",0.1,"Low","High"
"552","Louis Orr","High","Moderate",10.5,"Moderate",8.6,"Moderate","Low",0.1,"Low","High"
"553","Reggie Johnson","High","Moderate",10.2,"Moderate",8.6,"Moderate","Low",0,"Low","Moderate"
"554","Larry Drew","Moderate","Moderate",6.6,"Moderate",6.4,"Moderate","Moderate",0.2,"Moderate","Moderate"
"555","Larry Drew","Moderate","Moderate",6.6,"Moderate",6.4,"Moderate","Moderate",0.2,"Moderate","Moderate"
"556","Kevin McHale*","High","Moderate",10,"Moderate",8.1,"Moderate","Low",0,"Low","Moderate"
"557","Lowes Moore","Moderate","Moderate",7,"Moderate",6.7,"Moderate","Moderate",0.4,"Moderate","Moderate"
"558","Wayne Robinson","High","Moderate",7.9,"Moderate",6.3,"Moderate","Low",0.1,"Low","High"
"559","Johnny Moore","High","Moderate",7.4,"Moderate",6.3,"Moderate","Low",0.2,"Moderate","Moderate"
"561","Kyle Macy","High","Moderate",8.1,"Moderate",6.5,"Moderate","Moderate",0.6,"Moderate","Moderate"
"562","Bill Hanzlik","Moderate","Moderate",5.4,"Moderate",3.9,"Moderate","Low",0.1,"Moderate","Moderate"
"563","Solomon Hill","Low","Low",1.7,"Low",1.4,"Moderate","Moderate",0.8,"Moderate","Low"
"564","Edgar Jones","Moderate","Moderate",8.7,"Moderate",6,"Moderate","Low",0.1,"Low","High"
"565","Sam Worthen","Moderate","Moderate",3.7,"Moderate",3,"Moderate","Low",0.1,"Low","Moderate"
"566","James Johnson","Moderate","Moderate",5.3,"Moderate",3.5,"Moderate","Low",0,"Low","Moderate"
"567","James Johnson","Moderate","Moderate",3.9,"Moderate",3.2,"Moderate","Moderate",0.7,"Moderate","Moderate"
"568","Lorenzo Romar","Moderate","Moderate",4.1,"Moderate",4,"Moderate","Low",0.1,"Moderate","Moderate"
"569","Rick Mahorn","Moderate","Moderate",4.8,"Moderate",4.2,"Moderate","Low",0,"Low","Low"
"570","Rickey Brown","Low","Moderate",4,"Moderate",3.6,"Moderate","Low",0,"Low","Low"
"571","Butch Carter","Moderate","Moderate",5.6,"Moderate",4.6,"Moderate","Moderate",0.2,"Moderate","Moderate"
"572","Mike Woodson","High","Moderate",4.7,"Moderate",4.6,"Moderate","Low",0.1,"Moderate","Low"
"573","John Duren","Low","Moderate",1.8,"Low",2.5,"Low","Low",0,"Low","Low"
"574","James Wilkes","Moderate","Moderate",4.1,"Moderate",3.8,"Moderate","Low",0,"Low","Low"
"575","Shabazz Muhammad","Low","Low",3.9,"Moderate",3.4,"Moderate","Moderate",0.3,"Moderate","Moderate"
"576","DeWayne Scales","Low","Moderate",4.9,"Moderate",5.1,"Moderate","Low",0.1,"Moderate","Low"
"577","Craig Shelton","Moderate","Low",4.3,"Moderate",4,"Moderate","Low",0,"Low","Low"
"578","Earl Cureton","Moderate","Low",4.2,"Moderate",3.9,"Moderate","Low",0,"Low","Low"
"579","Billy Reid","Moderate","Low",3.2,"Low",3.1,"Moderate","Low",0.1,"Low","Low"
"580","Jerry Sichting","Low","Low",2,"Low",2,"Low","Low",0.1,"Low","Low"
"581","Reggie Carter","Moderate","Low",2.8,"Low",3,"Low","Low",0.1,"Low","Moderate"
"582","Mike Harper","Moderate","Low",2.7,"Low",2.5,"Moderate","Low",0.1,"Low","Moderate"
"583","Mike Niles","Low","Low",2.6,"Low",3.1,"Low","Low",0.1,"Moderate","Low"
"584","Toure' Murry","Moderate","Low",2.7,"Low",2.5,"Moderate","Moderate",0.2,"Moderate","Low"
"585","Dionte Christmas","Low","Low",2.3,"Low",2,"Low","Moderate",1,"Moderate","Low"
"586","Damian Lillard","High","High",19,"High",15.7,"Moderate","High",6.1,"Moderate","High"
"587","Bradley Beal","Moderate","High",13.9,"Moderate",12.3,"Moderate","High",4.2,"Moderate","High"
"588","Semaj Christon","Low","Moderate",3,"Low",4,"Low","Moderate",1.1,"Moderate","Low"
"589","Anthony Davis","Moderate","High",13.5,"Moderate",10.6,"Moderate","Low",0.1,"Low","High"
"590","Dion Waiters","Moderate","High",14.7,"Moderate",13.4,"Moderate","Moderate",3.3,"Moderate","High"
"591","Kyle Singler","High","High",8.8,"Moderate",7.8,"Moderate","Moderate",2.4,"Moderate","Moderate"
"592","Tyler Zeller","Moderate","High",7.9,"Moderate",7.3,"Moderate","Low",0.1,"Low","Moderate"
"593","Maurice Harkless","Moderate","High",8.2,"Moderate",7.4,"Moderate","Moderate",1.5,"Moderate","Moderate"
"594","Michael Kidd-Gilchrist","High","High",9,"Moderate",7.9,"Moderate","Low",0.1,"Moderate","High"
"595","Harrison Barnes","High","High",9.2,"Moderate",7.8,"Moderate","Moderate",1.8,"Moderate","High"
"596","Austin Rivers","Moderate","High",6.2,"Moderate",6.4,"Low","Moderate",1.4,"Moderate","Moderate"
"597","Caris LeVert","Low","Moderate",4.7,"Moderate",4.4,"Low","Moderate",2.6,"Moderate","Moderate"
"598","Andre Drummond","Moderate","Moderate",7.9,"Moderate",5.7,"High","Low",0,"Moderate","Moderate"
"599","Jared Sullinger","Low","Moderate",6,"Moderate",5,"Moderate","Low",0.1,"Moderate","Moderate"
"600","Meyers Leonard","Moderate","Moderate",5.5,"Moderate",4,"Moderate","Low",0.1,"Moderate","Moderate"
"601","Patrick Beverley","Low","Moderate",5.6,"Moderate",4.6,"Moderate","Moderate",2.3,"Moderate","Moderate"
"602","Jae Crowder","High","Moderate",5,"Moderate",4.7,"Low","Moderate",2.5,"Moderate","Low"
"603","Brian Roberts","High","Moderate",7.1,"Moderate",6.6,"Moderate","Moderate",2,"Moderate","Moderate"
"604","Terrence Ross","Moderate","Moderate",6.4,"Moderate",6.3,"Moderate","Moderate",2.7,"Moderate","Low"
"605","Chris Copeland","Moderate","Moderate",8.7,"Moderate",6.8,"Moderate","High",2.5,"Moderate","Moderate"
"606","Thomas Robinson","Moderate","Moderate",4.8,"Moderate",4.6,"Moderate","Low",0,"Low","Moderate"
"607","John Jenkins","Moderate","Moderate",6.1,"Moderate",4.8,"Moderate","Moderate",2.3,"Moderate","Moderate"
"608","Kendall Marshall","Moderate","Moderate",3,"Low",3.1,"Low","Moderate",1.5,"Moderate","Low"
"609","Draymond Green","High","Moderate",2.9,"Low",3.3,"Low","Moderate",0.8,"Moderate","Low"
"610","Darius Miller","Moderate","Moderate",2.3,"Low",2.1,"Moderate","Moderate",1.1,"Moderate","Low"
"611","John Henson","Moderate","Moderate",6,"Moderate",5.3,"Moderate","Low",0,"Low","Moderate"
"612","Sheldon McClellan","Low","Moderate",4.8,"Moderate",3.7,"Moderate","Moderate",1.4,"Moderate","Moderate"
"613","DeQuan Jones","Moderate","Moderate",3.7,"Moderate",3.5,"Moderate","Moderate",0.6,"Moderate","Low"
"614","Doron Lamb","Low","Moderate",3.3,"Low",3.5,"Low","Moderate",0.8,"Moderate","Low"
"615","Will Barton","Moderate","Moderate",4,"Moderate",4.2,"Low","Moderate",0.9,"Moderate","Moderate"
"616","Orlando Johnson","Moderate","Moderate",4,"Low",3.5,"Low","Moderate",1.8,"Moderate","Low"
"617","Arnett Moultrie","Low","Moderate",3.7,"Moderate",2.9,"Moderate","Low",0,"Low","Low"
"618","Kyle O'Quinn","Moderate","Moderate",4.1,"Moderate",3.5,"Moderate","Low",0,"Low","Low"
"619","Bernard James","Low","Low",2.8,"Low",2.2,"Moderate","Low",0,"Low","Low"
"620","Kim English","Low","Low",2.9,"Low",2.7,"Low","Moderate",1.2,"Moderate","Low"
"621","Rodney McGruder","Low","High",5.8,"Moderate",5.3,"Low","Moderate",2.6,"Moderate","Moderate"
"622","Mike Scott","Low","Low",4.6,"Moderate",3.7,"Moderate","Low",0,"Low","Moderate"
"623","Marquis Teague","Moderate","Low",2.1,"Low",2.4,"Low","Moderate",0.5,"Moderate","Low"
"624","Tony Wroten","Low","Low",2.6,"Low",2.5,"Low","Moderate",0.5,"Moderate","Low"
"625","Maalik Wayns","Low","Low",2.8,"Low",3.3,"Low","Moderate",1.1,"Moderate","Low"
"626","Jeremy Lamb","Low","Low",3.1,"Low",3,"Low","Moderate",1.3,"Moderate","Low"
"627","Brandon Knight","Moderate","High",12.8,"Moderate",11.7,"Moderate","High",4.2,"Moderate","Moderate"
"628","MarShon Brooks","Moderate","High",12.6,"Moderate",11.4,"Moderate","Moderate",2.7,"Moderate","High"
"629","Iman Shumpert","Moderate","High",9.5,"Moderate",9.1,"Low","Moderate",2.7,"Moderate","Moderate"
"630","Chandler Parsons","Moderate","High",9.5,"Moderate",8.7,"Moderate","Moderate",2.8,"Moderate","Moderate"
"631","Kemba Walker","Moderate","High",12.1,"Moderate",11.6,"Low","Moderate",3.4,"Moderate","High"
"632","Isaiah Thomas","Moderate","High",11.5,"Moderate",8.8,"Moderate","High",3.4,"Moderate","High"
"633","Klay Thompson","Moderate","High",12.5,"Moderate",10.9,"Moderate","High",4.1,"Moderate","Moderate"
"634","Kawhi Leonard","Moderate","High",7.9,"Moderate",6.3,"Moderate","Moderate",1.7,"Moderate","Moderate"
"635","Wade Baldwin","Low","Moderate",3.5,"Low",3.8,"Low","Moderate",0.8,"Moderate","Moderate"
"636","Kenneth Faried","Low","Moderate",10.2,"Moderate",6.7,"Moderate","Low",0,"Low","High"
"637","Chris Singleton","Moderate","Moderate",4.6,"Moderate",4.7,"Low","Moderate",1.9,"Moderate","Low"
"638","Derrick Williams","Moderate","Moderate",8.8,"Moderate",7.5,"Moderate","Moderate",2.1,"Moderate","High"
"639","Donald Sloan","Low","Moderate",5.5,"Moderate",6,"Low","Moderate",0.8,"Moderate","Moderate"
"640","Markieff Morris","Moderate","Moderate",7.4,"Moderate",6.9,"Low","Moderate",2,"Moderate","Moderate"
"641","Norris Cole","Moderate","Moderate",6.8,"Moderate",6.9,"Low","Moderate",1.2,"Moderate","Moderate"
"642","Jimmer Fredette","Moderate","Moderate",7.6,"Moderate",7.3,"Low","High",3.5,"Moderate","Moderate"
"643","Charles Jenkins","Moderate","Moderate",5.8,"Moderate",5.7,"Moderate","Moderate",0.4,"Moderate","Moderate"
"644","Jaylen Brown","Low","Moderate",4.9,"Moderate",4.4,"Moderate","Moderate",1.1,"Moderate","Moderate"
"645","Ivan Johnson","Moderate","Moderate",6.4,"Moderate",4.9,"Moderate","Low",0.1,"Moderate","Moderate"
"646","Alec Burks","Moderate","Moderate",7.2,"Moderate",6.1,"Moderate","Moderate",0.8,"Moderate","High"
"647","Lavoy Allen","Low","Moderate",4.1,"Moderate",4.1,"Moderate","Low",0,"Low","Low"
"648","Lance Thomas","Low","Moderate",4,"Low",3,"Moderate","Low",0,"Low","Moderate"
"649","Jordan Williams","Low","Moderate",4.6,"Moderate",3.5,"Moderate","Low",0,"Low","Moderate"
"650","Josh Harrellson","Low","Moderate",4.4,"Moderate",4,"Moderate","Moderate",1.6,"Moderate","Low"
"651","Greg Stiemsma","Moderate","Moderate",2.9,"Low",2.2,"Moderate","Low",0,"Low","Low"
"652","Jeremy Tyler","Low","Moderate",4.9,"Moderate",5,"Moderate","Low",0,"Low","Moderate"
"653","Malcolm Lee","Low","Moderate",3.3,"Low",3.1,"Low","Moderate",0.5,"Moderate","Moderate"
"654","Nolan Smith","Low","Moderate",3.8,"Moderate",4.1,"Low","Moderate",1,"Moderate","Low"
"655","Shelvin Mack","Moderate","Moderate",3.6,"Low",3.4,"Low","Moderate",0.7,"Moderate","Moderate"
"656","Jon Leuer","Low","Moderate",4.7,"Moderate",4.2,"Moderate","Moderate",0.2,"Moderate","Low"
"657","Tobias Harris","Low","Moderate",5,"Moderate",4,"Moderate","Moderate",0.5,"Moderate","Moderate"
"658","Cory Higgins","Low","Moderate",3.9,"Low",4.2,"Low","Moderate",0.5,"Moderate","Moderate"
"659","Andrew Goudelock","Low","Low",4.4,"Moderate",4.4,"Low","Moderate",1.9,"Moderate","Low"
"660","Jordan Hamilton","Low","Low",4.4,"Moderate",4.3,"Moderate","Moderate",1.8,"Moderate","Low"
"661","Mickell Gladness","Low","Low",2.2,"Low",2.3,"Moderate","Low",0,"Low","Low"
"662","Patrick McCaw","Low","Moderate",2.8,"Low",2.8,"Low","Moderate",1.5,"Moderate","Low"
"663","Jeremy Pargo","Low","Low",2.9,"Low",3.4,"Low","Moderate",0.9,"Moderate","Low"
"664","E'Twaun Moore","Low","Low",2.9,"Low",3,"Low","Moderate",1.2,"Moderate","Low"
"665","Jimmy Butler","Low","Low",2.6,"Low",1.9,"Moderate","Low",0.3,"Moderate","Moderate"
"666","JaJuan Johnson","Low","Low",3.2,"Moderate",3.4,"Moderate","Low",0,"Low","Low"
"667","Blake Griffin","High","High",22.5,"High",16.8,"Moderate","Moderate",0.3,"Moderate","High"
"668","John Wall","Moderate","High",16.4,"Moderate",14.1,"Moderate","Moderate",1.7,"Moderate","High"
"669","Landry Fields","High","High",9.7,"Moderate",7.3,"Moderate","Moderate",2.7,"Moderate","Moderate"
"670","DeMarcus Cousins","High","High",14.1,"Moderate",12.4,"Moderate","Low",0.2,"Moderate","High"
"671","Greg Monroe","High","High",9.4,"Moderate",6.9,"Moderate","Low",0,"Low","High"
"672","Wesley Johnson","High","High",9,"Moderate",8.6,"Low","High",3.7,"Moderate","Moderate"
"673","Ed Davis","Moderate","High",7.7,"Moderate",5.7,"Moderate","Low",0,"Low","Moderate"
"674","Jordan Crawford","Low","High",11.7,"Moderate",11.9,"Low","Moderate",3,"Moderate","Moderate"
"675","Evan Turner","High","High",7.2,"Moderate",6.8,"Moderate","Moderate",0.6,"Moderate","Moderate"
"676","Eric Bledsoe","High","Moderate",6.7,"Moderate",6,"Moderate","Moderate",1.4,"Moderate","Moderate"
"677","Gary Neal","High","Moderate",9.8,"Moderate",7.9,"Moderate","High",3.9,"Moderate","Moderate"
"678","Paul George","Moderate","Moderate",7.8,"Moderate",6.5,"Moderate","Moderate",2.3,"Moderate","Moderate"
"679","Derrick Favors","High","Moderate",6.8,"Moderate",5.3,"Moderate","Low",0,"Low","Moderate"
"680","Kay Felder","Low","Moderate",5.4,"Moderate",4.1,"Moderate","Moderate",0.6,"Moderate","Moderate"
"681","Al-Farouq Aminu","High","Moderate",5.6,"Moderate",5,"Low","Moderate",1.8,"Moderate","Moderate"
"682","Ekpe Udoh","Moderate","Moderate",4.1,"Moderate",3.8,"Moderate","Low",0,"Low","Moderate"
"683","Manny Harris","Moderate","Moderate",5.9,"Moderate",5.4,"Low","Moderate",1.7,"Moderate","Moderate"
"684","Gordon Hayward","Moderate","Moderate",5.4,"Moderate",4.1,"Moderate","Moderate",1,"Moderate","Moderate"
"685","Patrick Patterson","Moderate","Moderate",6.3,"Moderate",5.1,"Moderate","Low",0,"Low","Low"
"686","Trevor Booker","Moderate","Moderate",5.3,"Moderate",3.9,"Moderate","Low",0,"Low","Moderate"
"687","Larry Sanders","Moderate","Moderate",4.3,"Moderate",4.5,"Moderate","Low",0,"Low","Low"
"688","Luke Harangody","Moderate","Moderate",3.9,"Moderate",4.2,"Low","Moderate",1.3,"Moderate","Low"
"689","Quincy Pondexter","Moderate","Moderate",2.8,"Low",2.7,"Moderate","Moderate",0.8,"Moderate","Low"
"690","Ben Uzoh","Low","Low",3.8,"Moderate",3.4,"Moderate","Moderate",0.2,"Moderate","Moderate"
"691","Ish Smith","Low","Low",2.3,"Low",2.7,"Low","Moderate",0.2,"Moderate","Low"
"692","Lazar Hayward","Low","Low",3.8,"Low",3.7,"Low","Moderate",1.4,"Moderate","Moderate"
"693","Jeremy Evans","Moderate","Low",3.6,"Moderate",2.3,"High","Low",0,"Low","Low"
"694","Cole Aldrich","Low","Low",1,"Low",0.8,"Moderate","Low",0,"Low","Low"
"695","Armon Johnson","Low","Low",2.9,"Low",2.7,"Moderate","Moderate",0.3,"Moderate","Low"
"696","Mustafa Shakur","Low","Low",2.3,"Low",2.7,"Low","Low",0.5,"Moderate","Low"
"697","Derrick Caracter","Low","Low",2,"Low",1.6,"Moderate","Low",0,"Low","Low"
"698","Tyreke Evans","Moderate","High",20.1,"High",16.2,"Moderate","Moderate",2,"Moderate","High"
"699","Stephen Curry","High","High",17.5,"High",14.3,"Moderate","High",4.8,"Moderate","High"
"700","Brandon Jennings","High","High",15.5,"Moderate",14.8,"Low","High",4.7,"Moderate","High"
"701","Denzel Valentine","Low","Low",2.5,"Low",3,"Low","Moderate",1.9,"Moderate","Low"
"702","Jonny Flynn","High","High",13.5,"Moderate",11.8,"Moderate","Moderate",2.7,"Moderate","High"
"703","Darren Collison","Moderate","High",12.4,"Moderate",10.4,"Moderate","Moderate",1.5,"Moderate","High"
"704","Taj Gibson","High","High",9,"Moderate",7.7,"Moderate","Low",0,"Low","Moderate"
"705","Marcus Thornton","Moderate","High",14.5,"Moderate",12.1,"Moderate","High",4.3,"Moderate","High"
"706","Wesley Matthews","High","High",9.4,"Moderate",6.9,"Moderate","Moderate",2,"Moderate","High"
"707","Jrue Holiday","Moderate","High",8,"Moderate",7.1,"Moderate","Moderate",2.2,"Moderate","Moderate"
"708","James Harden","Moderate","Moderate",9.9,"Moderate",7.6,"Moderate","High",3.3,"Moderate","High"
"709","Terrence Williams","High","Moderate",8.4,"Moderate",8.3,"Low","Moderate",1.3,"Moderate","Moderate"
"710","Taurean Waller-Prince","Low","Low",3.4,"Low",3.1,"Low","Moderate",1.2,"Moderate","Low"
"711","DeMar DeRozan","Moderate","Moderate",8.6,"Moderate",6.6,"Moderate","Moderate",0.2,"Moderate","High"
"712","Ty Lawson","Moderate","Moderate",8.3,"Moderate",6,"Moderate","Moderate",1.3,"Moderate","Moderate"
"713","Chase Budinger","Moderate","Moderate",8.9,"Moderate",7.6,"Moderate","High",3.4,"Moderate","Moderate"
"714","Toney Douglas","Moderate","Moderate",8.6,"Moderate",7,"Moderate","High",3.1,"Moderate","Moderate"
"715","DeJuan Blair","High","Moderate",7.8,"Moderate",6,"Moderate","Low",0,"Low","Moderate"
"716","Wayne Ellington","Moderate","Moderate",6.6,"Moderate",5.9,"Moderate","Moderate",2.1,"Moderate","Moderate"
"717","Sam Young","High","Moderate",7.4,"Moderate",6.2,"Moderate","Moderate",0.7,"Moderate","Moderate"
"718","Eric Maynor","High","Moderate",4.7,"Moderate",4.5,"Moderate","Moderate",0.9,"Moderate","Low"
"719","A.J. Price","Moderate","Moderate",7.3,"Moderate",6.3,"Moderate","High",3.1,"Moderate","Moderate"
"720","Karl-Anthony Towns","High","High",18.3,"High",14.1,"Moderate","Moderate",1.1,"Moderate","High"
"721","Jordan Hill","Low","Moderate",5.2,"Moderate",4.3,"Moderate","Low",0,"Low","Moderate"
"722","Austin Daye","Moderate","Moderate",5.1,"Moderate",4.3,"Moderate","Moderate",1.4,"Moderate","Moderate"
"723","Chris Hunter","Moderate","Moderate",4.5,"Moderate",3.6,"Moderate","Low",0.1,"Low","Moderate"
"724","Jon Brockman","Moderate","Moderate",2.8,"Low",2,"Moderate","Low",0,"Low","Moderate"
"725","Garrett Temple","Low","Moderate",5,"Moderate",3.7,"Moderate","Moderate",1.4,"Moderate","Moderate"
"726","Jodie Meeks","Moderate","Moderate",4.7,"Moderate",4.5,"Low","Moderate",2.2,"Moderate","Low"
"727","Dante Cunningham","Moderate","Moderate",3.9,"Moderate",3.4,"Moderate","Low",0,"Low","Low"
"728","DeMarre Carroll","Moderate","Moderate",2.9,"Low",3.1,"Low","Low",0.1,"Low","Low"
"729","Jeff Ayres","Low","Low",2.7,"Low",1.7,"High","Low",0,"Low","Low"
"730","Jeff Teague","Moderate","Low",3.2,"Low",3.2,"Low","Moderate",0.5,"Moderate","Low"
"731","Derrick Brown","Moderate","Low",3.3,"Low",2.6,"Moderate","Low",0.1,"Moderate","Moderate"
"732","DaJuan Summers","Low","Low",3,"Low",3,"Low","Moderate",1,"Moderate","Low"
"733","Gerald Henderson","Low","Low",2.6,"Low",2.4,"Low","Moderate",0.4,"Moderate","Moderate"
"734","Gerald Henderson","Low","Low",2.6,"Low",2.4,"Low","Moderate",0.4,"Moderate","Moderate"
"735","Earl Clark","Moderate","Low",2.7,"Low",3,"Low","Low",0.1,"Moderate","Low"
"736","Cedric Jackson","Low","Low",1.7,"Low",1.7,"Low","Moderate",0.5,"Moderate","Low"
"737","Marcus Landry","Low","Low",2.4,"Low",2.4,"Low","Moderate",1.6,"Moderate","Low"
"738","Jahlil Okafor","Moderate","High",17.5,"High",14.7,"Moderate","Low",0.1,"Moderate","High"
"739","Lester Hudson","Low","Low",2.3,"Low",2.1,"Low","Moderate",0.6,"Moderate","Low"
"740","O.J. Mayo","High","High",18.5,"High",15.6,"Moderate","High",4.6,"Moderate","High"
"741","Derrick Rose","High","High",16.8,"High",14.9,"Moderate","Moderate",0.9,"Moderate","High"
"742","Eric Gordon","High","High",16.1,"Moderate",11.6,"Moderate","High",4.3,"Moderate","High"
"743","Russell Westbrook","High","High",15.3,"Moderate",13.4,"Low","Moderate",1.6,"Moderate","High"
"744","Mario Chalmers","High","High",10,"Moderate",8.1,"Moderate","High",3.8,"Moderate","High"
"745","Brook Lopez","High","High",13,"Moderate",10.3,"Moderate","Low",0,"Low","High"
"746","Jason Thompson","High","High",11.1,"Moderate",8.7,"Moderate","Low",0.1,"Low","High"
"747","D.J. Augustin","Moderate","High",11.8,"Moderate",8.6,"Moderate","High",3.4,"Moderate","High"
"748","Justise Winslow","High","High",6.4,"Moderate",5.9,"Moderate","Moderate",1.5,"Moderate","Moderate"
"749","Kevin Love","High","High",11.1,"Moderate",8.5,"Moderate","Low",0.2,"Moderate","High"
"750","Courtney Lee","Moderate","High",8.4,"Moderate",7,"Moderate","High",2.6,"Moderate","Moderate"
"751","Michael Beasley","High","High",13.9,"Moderate",11.8,"Moderate","Moderate",1,"Moderate","High"
"752","Brandon Rush","Moderate","High",8.1,"Moderate",7.7,"Moderate","Moderate",2.8,"Moderate","Low"
"753","Anthony Morrow","Moderate","Moderate",10.1,"Moderate",8,"Moderate","High",2.7,"Moderate","Moderate"
"754","Greg Oden","Moderate","Moderate",8.9,"Moderate",5.8,"Moderate","Low",0,"Low","High"
"755","Kyle Weaver","Moderate","Moderate",5.3,"Moderate",4.4,"Moderate","Moderate",1.7,"Moderate","Moderate"
"756","Ryan Anderson","Moderate","Moderate",7.4,"Moderate",6.2,"Low","Moderate",2.9,"Moderate","Moderate"
"757","Darrell Arthur","Moderate","Moderate",5.6,"Moderate",5.7,"Moderate","Low",0,"Low","Low"
"758","George Hill","Moderate","Moderate",5.7,"Moderate",4.8,"Moderate","Moderate",0.9,"Moderate","Moderate"
"759","Marreese Speights","High","Moderate",7.7,"Moderate",6.4,"Moderate","Low",0.1,"Moderate","Moderate"
"760","JaVale McGee","Moderate","Moderate",6.5,"Moderate",5.2,"Moderate","Low",0,"Low","Moderate"
"761","Mike Taylor","Moderate","Moderate",5.7,"Moderate",5.2,"Moderate","Moderate",0.8,"Moderate","Moderate"
"762","DeAndre Jordan","Moderate","Moderate",4.3,"Moderate",2.8,"High","Low",0,"Low","Moderate"
"763","Roy Hibbert","Moderate","Moderate",7.1,"Moderate",6,"Moderate","Low",0,"Low","Moderate"
"764","Bobby Brown","Moderate","Moderate",5.3,"Moderate",5.3,"Low","Moderate",1.9,"Moderate","Low"
"765","D'Angelo Russell","High","High",13.2,"Moderate",12,"Moderate","High",4.6,"Moderate","High"
"766","Chris Douglas-Roberts","Low","Moderate",4.9,"Moderate",4,"Moderate","Moderate",0.3,"Moderate","Moderate"
"767","Jerryd Bayless","Moderate","Moderate",4.3,"Low",3.6,"Low","Moderate",0.5,"Moderate","Moderate"
"768","Cory Alexander","Moderate","Moderate",4.7,"Moderate",4.2,"Moderate","Moderate",0.8,"Moderate","Moderate"
"769","Cory Alexander","Moderate","Low",2.8,"Low",2.6,"Moderate","Moderate",1.1,"Moderate","Low"
"770","Kosta Koufos","Moderate","Moderate",4.7,"Moderate",3.9,"Moderate","Low",0,"Low","Moderate"
"771","Rob Kurz","Low","Moderate",3.9,"Low",3.3,"Low","Moderate",1,"Moderate","Moderate"
"772","Anthony Tolliver","Low","Moderate",2.7,"Low",3.4,"Low","Moderate",2.2,"Moderate","Low"
"773","Devin Booker","Moderate","High",13.8,"Moderate",11.4,"Moderate","High",3.8,"Moderate","High"
"774","Robin Lopez","Moderate","Low",3.1,"Low",2.3,"Moderate","Low",0,"Low","Moderate"
"775","Darnell Jackson","Moderate","Low",1.9,"Low",1.7,"Moderate","Low",0,"Low","Low"
"776","Sean Singletary","Low","Low",2.4,"Low",2.3,"Low","Moderate",0.7,"Moderate","Low"
"777","Kevin Durant","High","High",20.3,"High",17.1,"Moderate","Moderate",2.6,"Moderate","High"
"778","Jeff Green","High","High",10.5,"Moderate",9.4,"Moderate","Moderate",1,"Moderate","High"
"779","Jamario Moon","High","High",8.5,"Moderate",7.4,"Moderate","Moderate",1.6,"Moderate","Moderate"
"780","Al Thornton","High","High",12.7,"Moderate",11,"Moderate","Moderate",1.6,"Moderate","High"
